city,locality,pincode,year_offset,yoy_appreciation_pct,cumulative_index
Mumbai,Bandra West,400050,1,5.24,1.052
Mumbai,Bandra West,400050,2,3.87,1.093
Mumbai,Bandra West,400050,3,5.56,1.154
Mumbai,Bandra West,400050,4,5.07,1.212
Mumbai,Bandra West,400050,5,6.79,1.295
Mumbai,Andheri West,400058,1,5.79,1.058
Mumbai,Andheri West,400058,2,6.89,1.131
Mumbai,Andheri West,400058,3,5.32,1.191
Mumbai,Andheri West,400058,4,6.22,1.265
Mumbai,Andheri West,400058,5,4.3,1.319
Mumbai,Powai,400076,1,8.65,1.086
Mumbai,Powai,400076,2,6.48,1.157
Mumbai,Powai,400076,3,6.07,1.227
Mumbai,Powai,400076,4,7.82,1.323
Mumbai,Powai,400076,5,9.07,1.443
Mumbai,Malad West,400064,1,14.32,1.143
Mumbai,Malad West,400064,2,4.97,1.2
Mumbai,Malad West,400064,3,9.6,1.315
Mumbai,Malad West,400064,4,10.37,1.452
Mumbai,Malad West,400064,5,7.24,1.557
Mumbai,Thane West,400601,1,5.59,1.056
Mumbai,Thane West,400601,2,11.03,1.172
Mumbai,Thane West,400601,3,4.77,1.228
Mumbai,Thane West,400601,4,8.74,1.336
Mumbai,Thane West,400601,5,5.42,1.408
Mumbai,Mulund West,400080,1,7.65,1.076
Mumbai,Mulund West,400080,2,2.86,1.107
Mumbai,Mulund West,400080,3,4.4,1.156
Mumbai,Mulund West,400080,4,2.07,1.18
Mumbai,Mulund West,400080,5,15.51,1.363
Mumbai,Chembur,400071,1,3.13,1.031
Mumbai,Chembur,400071,2,7.77,1.111
Mumbai,Chembur,400071,3,4.49,1.161
Mumbai,Chembur,400071,4,1.24,1.176
Mumbai,Chembur,400071,5,6.53,1.252
Mumbai,Kandivali East,400101,1,15.24,1.152
Mumbai,Kandivali East,400101,2,5.16,1.212
Mumbai,Kandivali East,400101,3,13.03,1.37
Mumbai,Kandivali East,400101,4,13.41,1.554
Mumbai,Kandivali East,400101,5,4.28,1.62
Mumbai,Goregaon West,400062,1,2.55,1.025
Mumbai,Goregaon West,400062,2,4.43,1.071
Mumbai,Goregaon West,400062,3,8.18,1.158
Mumbai,Goregaon West,400062,4,1.97,1.181
Mumbai,Goregaon West,400062,5,6.99,1.264
Mumbai,Dombivli,421201,1,9.44,1.094
Mumbai,Dombivli,421201,2,6.04,1.16
Mumbai,Dombivli,421201,3,6.78,1.239
Mumbai,Dombivli,421201,4,8.18,1.341
Mumbai,Dombivli,421201,5,9.4,1.467
Bangalore,Indiranagar,560038,1,6.47,1.065
Bangalore,Indiranagar,560038,2,4.0,1.107
Bangalore,Indiranagar,560038,3,4.38,1.156
Bangalore,Indiranagar,560038,4,5.24,1.216
Bangalore,Indiranagar,560038,5,3.31,1.257
Bangalore,Whitefield,560066,1,12.32,1.123
Bangalore,Whitefield,560066,2,5.0,1.179
Bangalore,Whitefield,560066,3,8.91,1.284
Bangalore,Whitefield,560066,4,6.71,1.371
Bangalore,Whitefield,560066,5,7.51,1.474
Bangalore,Koramangala,560034,1,6.9,1.069
Bangalore,Koramangala,560034,2,4.81,1.12
Bangalore,Koramangala,560034,3,3.66,1.161
Bangalore,Koramangala,560034,4,3.38,1.201
Bangalore,Koramangala,560034,5,6.02,1.273
Bangalore,HSR Layout,560102,1,6.89,1.069
Bangalore,HSR Layout,560102,2,4.98,1.122
Bangalore,HSR Layout,560102,3,8.2,1.214
Bangalore,HSR Layout,560102,4,4.35,1.267
Bangalore,HSR Layout,560102,5,4.24,1.321
Bangalore,Electronic City,560100,1,8.34,1.083
Bangalore,Electronic City,560100,2,7.64,1.166
Bangalore,Electronic City,560100,3,1.08,1.179
Bangalore,Electronic City,560100,4,6.67,1.257
Bangalore,Electronic City,560100,5,11.52,1.402
Bangalore,Hebbal,560024,1,6.34,1.063
Bangalore,Hebbal,560024,2,7.38,1.142
Bangalore,Hebbal,560024,3,4.42,1.192
Bangalore,Hebbal,560024,4,8.34,1.292
Bangalore,Hebbal,560024,5,8.97,1.408
Bangalore,JP Nagar,560078,1,11.71,1.117
Bangalore,JP Nagar,560078,2,6.53,1.19
Bangalore,JP Nagar,560078,3,6.72,1.27
Bangalore,JP Nagar,560078,4,9.4,1.389
Bangalore,JP Nagar,560078,5,7.04,1.487
Bangalore,Sarjapur Road,560035,1,11.83,1.118
Bangalore,Sarjapur Road,560035,2,12.29,1.256
Bangalore,Sarjapur Road,560035,3,4.18,1.308
Bangalore,Sarjapur Road,560035,4,3.97,1.36
Bangalore,Sarjapur Road,560035,5,6.38,1.447
Bangalore,Yelahanka,560064,1,1.25,1.012
Bangalore,Yelahanka,560064,2,17.35,1.188
Bangalore,Yelahanka,560064,3,3.26,1.227
Bangalore,Yelahanka,560064,4,14.19,1.401
Bangalore,Yelahanka,560064,5,4.36,1.462
Bangalore,Malleshwaram,560003,1,5.79,1.058
Bangalore,Malleshwaram,560003,2,5.92,1.121
Bangalore,Malleshwaram,560003,3,2.42,1.148
Bangalore,Malleshwaram,560003,4,4.37,1.198
Bangalore,Malleshwaram,560003,5,6.55,1.276
Delhi NCR,Gurgaon Sector 54,122002,1,4.62,1.046
Delhi NCR,Gurgaon Sector 54,122002,2,5.58,1.105
