listing_id_a,listing_id_b,similarity
508251,505412,1.0
508189,508378,1.0
500899,500863,0.956
501901,508300,1.0
503266,503306,0.956
505481,508351,1.0
505481,505425,0.933
503555,503620,0.941
508266,502300,1.0
504550,508333,1.0
508201,504955,1.0
502924,508346,1.0
505676,508297,1.0
501735,508291,1.0
507296,507306,0.951
500122,500198,1.0
506963,508322,1.0
505818,505791,0.949
500913,508272,1.0
505520,505617,0.921
507562,507498,1.0
508352,502320,1.0
508262,507878,1.0
507991,508076,1.0
503485,508242,1.0
504991,504974,1.0
508267,507261,1.0
508301,504940,1.0
501667,508259,1.0
503831,508376,1.0
508345,504995,1.0
508256,501564,1.0
501797,501701,0.93
502302,508320,1.0
508332,500960,1.0
507385,507455,0.95
508349,504513,1.0
503728,508347,1.0
507020,507050,0.921
502359,508244,1.0
508269,505383,1.0
508351,505425,0.933
502424,508264,1.0
500972,500970,0.931
500972,508226,0.931
508387,504604,1.0
500457,500394,1.0
508302,504346,1.0
508328,502754,1.0
504323,504240,1.0
504323,504230,0.956
502883,508204,1.0
504069,504095,0.937
503783,503857,0.96
508361,507791,1.0
505739,505693,0.936
507891,508305,1.0
508379,503844,1.0
508389,507241,1.0
508331,504590,1.0
506719,508314,1.0
507817,508312,1.0
502194,508238,1.0
502536,502547,1.0
502484,502430,1.0
503802,508210,1.0
500447,508274,1.0
502040,508368,1.0
508217,507634,1.0
504798,504691,0.932
502749,508294,1.0
508383,507788,1.0
504817,504926,0.949
508241,505209,1.0
504837,508228,1.0
504837,504926,1.0
503124,503083,1.0
503124,503090,0.956
508208,506253,1.0
503878,503972,1.0
507426,507431,0.962
502909,502921,0.96
508311,503327,1.0
508223,503556,1.0
504240,504230,0.956
506259,506278,1.0
507571,508360,1.0
500986,508248,1.0
504749,504802,0.953
503648,503661,0.956
505080,508392,1.0
507692,508324,1.0
508350,504123,1.0
508215,501892,1.0
501236,508299,1.0
508292,500061,1.0
502523,502504,1.0
502523,502466,0.964
505829,508344,1.0
505204,508199,1.0
500787,508319,1.0
501539,501550,0.921
501708,501791,0.935
508216,502052,1.0
503061,503016,0.929
501436,508246,1.0
506564,506565,0.949
508372,503557,1.0
503861,508234,1.0
507694,508271,1.0
508260,501691,1.0
508308,506746,1.0
501676,508290,1.0
507650,507598,1.0
500741,500841,1.0
508232,504967,1.0
508354,502054,1.0
502186,502249,0.92
501209,501102,1.0
502706,508353,1.0
506759,506831,0.935
507103,507162,1.0
500975,508386,1.0
502689,508318,1.0
501041,508309,1.0
508380,503908,1.0
500969,500973,0.956
508365,502069,1.0
508245,502332,1.0
508362,500673,1.0
508288,500769,1.0
507364,507388,1.0
504969,504942,1.0
507224,507246,0.948
508306,503608,1.0
507976,508022,0.959
505268,505225,0.926
506726,508329,1.0
502811,502844,0.925
507423,507418,0.92
504287,504327,0.946
508356,503705,1.0
501407,501455,0.933
503550,503551,0.949
508371,500504,1.0
503107,503137,0.948
505460,508235,1.0
505460,505485,1.0
501955,501968,0.956
505523,508390,1.0
503570,503503,0.964
508337,506973,1.0
507088,507211,0.927
506851,508236,1.0
500604,508348,1.0
506743,508240,1.0
505672,508284,1.0
508039,508366,1.0
507080,506986,1.0
506636,506629,0.931
508327,503222,1.0
501454,501404,1.0
508384,502290,1.0
501270,508206,1.0
508341,504485,1.0
503656,508263,1.0
508382,501120,1.0
508222,503444,1.0
508225,501401,1.0
505450,508198,1.0
508174,508127,1.0
503560,508279,1.0
500774,508367,1.0
502874,508276,1.0
504398,504361,0.929
508298,506332,1.0
501946,508326,1.0
501253,501259,0.925
508358,506868,1.0
506742,508209,1.0
500700,500605,1.0
508307,501861,1.0
508213,503346,1.0
505793,505852,0.931
508330,501251,1.0
505303,505330,0.929
503465,503450,0.921
501612,501623,1.0
508391,500816,1.0
508323,500412,1.0
503300,503279,0.929
508313,503767,1.0
508296,503787,1.0
503083,503090,0.956
505535,508233,1.0
506049,505994,0.956
506938,506904,1.0
504822,508317,1.0
508202,506870,1.0
508261,502082,1.0
502504,502466,0.964
508289,504193,1.0
508286,506275,1.0
501581,508334,1.0
507127,508364,1.0
500181,508278,1.0
503996,508377,1.0
501826,508315,1.0
508342,501494,1.0
501375,508283,1.0
503508,508369,1.0
502429,502483,0.948
503710,503736,0.921
508340,507611,1.0
504467,508258,1.0
505677,508304,1.0
501262,501304,0.927
502055,502008,1.0
505824,508363,1.0
500301,500349,0.923
502566,508250,1.0
508282,501346,1.0
505971,505896,1.0
500397,508287,1.0
500668,508214,1.0
508273,502486,1.0
508303,507687,1.0
508180,508212,1.0
508355,507321,1.0
506840,508285,1.0
508270,506623,1.0
502541,502629,0.937
508325,506098,1.0
502770,508375,1.0
508336,504302,1.0
508203,505909,1.0
505141,508207,1.0
503578,503500,0.962
501961,501949,0.953
502590,508239,1.0
500887,500959,1.0
507418,507433,0.964
508252,502226,1.0
500499,500560,0.952
500191,508280,1.0
500151,500179,0.933
502818,502860,0.927
507710,507758,1.0
503236,508338,1.0
504002,504089,0.949
506134,506212,0.941
508133,508085,0.939
507965,508022,0.95
506193,506217,0.933
506100,508249,1.0
507405,507371,0.95
508385,505977,1.0
508228,504926,1.0
503769,508281,1.0
500998,501010,1.0
508230,507452,1.0
500911,500973,1.0
506305,506329,0.925
508196,507414,1.0
504330,508231,1.0
505367,505330,0.963
500898,508200,1.0
508229,507197,1.0
500253,500307,0.948
508293,500237,1.0
504662,504667,1.0
503670,508374,1.0
501940,501994,0.943
504945,504978,0.93
508237,502914,1.0
508254,505663,1.0
508254,505735,0.96
507499,508373,1.0
507589,508310,1.0
508255,502368,1.0
501076,501074,0.944
503590,503585,0.96
508243,503375,1.0
500915,500973,1.0
508339,506794,1.0
508235,505485,1.0
504954,508218,1.0
508265,507271,1.0
508247,500792,1.0
501166,508275,1.0
506324,506329,0.929
508316,500991,1.0
505289,508224,1.0
505591,508268,1.0
502481,502483,0.949
508221,502705,1.0
505977,505894,0.947
500300,508257,1.0
505208,505191,0.929
500550,500535,1.0
506174,508197,1.0
503129,503044,0.921
502669,508359,1.0
502669,502759,0.952
501521,508253,1.0
508205,507532,1.0
504828,504912,0.96
508357,500680,1.0
506608,506697,0.925
504953,505019,0.96
505663,505735,0.96
503820,503801,0.929
508220,504391,1.0
508220,504419,0.923
506565,506579,1.0
