property_id,city,locality,pincode,city_tier,tier,property_type,metro_distance_km,bhk,carpet_area_sqft,age_years,builder,builder_score,builder_tier,rera_registered,rera_number,num_amenities,amenities,circle_rate_per_sqft,price_per_sqft,total_price,asking_price_per_sqft,asking_total_price,stamp_duty_pct,stamp_duty_amt,registration_charge_amt,monthly_rent_est,monthly_rent_asking,rental_yield_pct,vastu_compliant,gated_community,rentable
100001,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.61,3,1296.8,19,Oberoi Realty,0.9,Tier1,1,PMHA87272,3,"Power Backup, Swimming Pool, Gymnasium",38835.0,46827.0,60723557.0,48586.0,63004205.0,0.06,3643413.0,30000.0,107271.0,116898.0,2.12,1,0,1
100002,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.69,2,1198.9,3,Godrej Properties,0.93,Tier1,1,PMHA59912,11,"Children's Play Area, Clubhouse, Swimming Pool, Indoor Games Room, Visitor Parking, Gymnasium, Power Backup, Landscaped Garden, Lift, CCTV, 24/7 Security",34208.0,58769.0,70457790.0,65535.0,78569346.0,0.06,4227467.0,30000.0,104039.0,105273.0,1.77,0,1,1
100003,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.69,3,1198.4,7,Sobha Ltd,0.91,Tier1,1,PMHA30421,8,"24/7 Security, Children's Play Area, Landscaped Garden, Swimming Pool, Indoor Games Room, Lift, CCTV, Power Backup",29819.0,43172.0,51735834.0,43171.0,51735121.0,0.06,3104150.0,30000.0,82643.0,88442.0,1.92,1,1,1
100004,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.72,3,1087.0,11,DLF Ltd,0.92,Tier1,1,PMHA61186,3,"Swimming Pool, Indoor Games Room, Gymnasium",38930.0,48958.0,53215801.0,52150.0,56685883.0,0.06,3192948.0,30000.0,90758.0,94233.0,2.05,0,0,1
100005,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.67,1,571.6,2,Sobha Ltd,0.91,Tier1,1,PMHA46767,12,"Children's Play Area, Clubhouse, Landscaped Garden, Indoor Games Room, CCTV, Gymnasium, Jogging Track, Visitor Parking, Lift, 24/7 Security, Power Backup, Swimming Pool",34114.0,50628.0,28937891.0,52617.0,30074617.0,0.06,1736273.0,30000.0,42988.0,44284.0,1.78,1,1,1
100006,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.57,3,1214.7,11,Godrej Properties,0.93,Tier1,1,PMHA31488,6,"Children's Play Area, Landscaped Garden, Swimming Pool, 24/7 Security, Jogging Track, Visitor Parking",34246.0,49418.0,60028675.0,53708.0,65239923.0,0.06,3601721.0,30000.0,104269.0,106658.0,2.08,0,1,1
100007,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.63,3,1233.5,16,Sobha Ltd,0.91,Tier1,1,PMHA73362,5,"Power Backup, Indoor Games Room, Visitor Parking, Gymnasium, 24/7 Security",40636.0,52120.0,64289977.0,55123.0,67994024.0,0.06,3857399.0,30000.0,98587.0,95809.0,1.84,0,0,1
100008,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.65,3,1102.0,11,Oberoi Realty,0.9,Tier1,1,PMHA69453,4,"Swimming Pool, Landscaped Garden, Power Backup, Lift",34916.0,46695.0,51457771.0,45453.0,50090053.0,0.06,3087466.0,30000.0,65707.0,67516.0,1.53,0,0,1
100009,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.53,2,1188.6,2,Brigade Group,0.88,Tier1,1,PMHA49704,12,"Jogging Track, Swimming Pool, Visitor Parking, Lift, Gymnasium, Indoor Games Room, CCTV, Power Backup, Landscaped Garden, Clubhouse, Children's Play Area, 24/7 Security",34813.0,54365.0,64619190.0,58662.0,69727285.0,0.06,3877151.0,30000.0,104068.0,101475.0,1.93,0,1,1
100010,Mumbai,Bandra West,400050,Tier1,premium,Villa,0.63,5,4352.9,6,DLF Ltd,0.92,Tier1,1,PMHA43382,6,"24/7 Security, Lift, Landscaped Garden, Children's Play Area, CCTV, Gymnasium",28524.0,54907.0,239006564.0,53630.0,233446457.0,0.06,14340394.0,30000.0,317400.0,348802.0,1.59,1,1,1
