listing_name,city,locality,property_type,bhk,carpet_area_sqft,price_inr,price_per_sqft_calc,baths,has_balcony
Casagrand ECR 14,Chennai,Kanathur Reddikuppam,Apartment,4.0,2583,19900000.0,7704.219899341851,4,1
"Ramanathan Nagar, Pozhichalur,Chennai",Chennai,Pozhichalur,Independent House,10.0,7000,22500000.0,3214.285714285714,6,1
DAC Prapthi,Chennai,West Tambaram,Apartment,3.0,1320,10000000.0,7575.757575757576,3,0
"Naveenilaya,Chepauk, Triplicane,Chennai",Chennai,Triplicane,Independent House,7.0,4250,33300000.0,7835.294117647059,5,1
VGN Spring Field Phase 1,Chennai,Avadi,Apartment,2.0,960,4800000.0,5000.0,3,1
KG Earth Homes,Chennai,Siruseri,Apartment,2.0,940,4000000.0,4255.31914893617,3,0
"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai",Chennai,Sembakkam,Apartment,2.0,880,6000000.0,6818.181818181818,3,1
TK Jasmine Grove,Chennai,Mahindra World City,Independent House,3.0,1700,7234999.999999999,4255.882352941176,3,1
Avenue,Chennai,West Tambaram,Apartment,2.0,840,4200000.0,5000.0,3,0
Guru Kothai Aparts,Chennai,Chromepet,Apartment,1.0,535,3000000.0,5607.476635514019,2,0
Mahindra Lifespaces Aqualilly Flexi Homes,Chennai,Mahindra World City,Apartment,1.0,581,2940000.0,5060.240963855422,2,1
DRA 90 Degrees,Chennai,Pallikaranai,Apartment,3.0,1444,13000000.0,9002.770083102492,3,0
"Ramakrishna Puram, West Mambalam,Chennai",Chennai,West Mambalam,Villa,6.0,6000,85000000.0,14166.666666666666,1,1
"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",Chennai,Ashok Nagar,Apartment,2.0,878,11500000.0,13097.949886104783,3,1
"Chimaera Apartments,Madambakkam, Chennai",Chennai,Madambakkam,Apartment,2.0,944,4900000.0,5190.677966101695,3,0
SSM Nagar,Chennai,Perungalathur,Apartment,3.0,1317,5700000.0,4328.018223234624,3,0
"ARUN EXCELLO ,Padappai, Chennai",Chennai,Padappai,Apartment,2.0,820,2500000.0,3048.7804878048782,3,0
Ramcons Dominion,Chennai,Nungambakkam,Apartment,3.0,1658,26000000.0,15681.544028950542,3,1
VGN Coasta,Chennai,Muttukadu,Apartment,4.0,4200,29700000.000000004,7071.4285714285725,5,1
"Ramanathan Nagar, Pozhichalur,Chennai",Chennai,Pozhichalur,Independent House,2.0,2838,16200000.000000002,5708.245243128965,4,1
CasaGrand Vistaaz,Chennai,Kolapakkam - Vandalur,Villa,3.0,1566,10800000.0,6896.551724137931,3,0
"penta concept enclave,Thiruverkkadu, Chennai",Chennai,Thiruverkkadu,Apartment,4.0,2350,10000000.0,4255.31914893617,4,1
VGN Platina,Chennai,Ayappakkam,Apartment,2.0,868,4000000.0,4608.294930875576,3,1
"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai",Chennai,Choolaimedu,Apartment,2.0,926,8900000.0,9611.23110151188,3,1
"Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai",Chennai,Saidapet,Apartment,2.0,1090,6300000.0,5779.816513761468,3,1
Shakthi Mangalambikai Apartments,Chennai,Perungudi,Apartment,3.0,1307,9000000.0,6885.998469778117,3,1
Akshaya January,Chennai,Senganmal,Apartment,1.0,605,2500000.0,4132.231404958678,2,1
Jamans,Chennai,Thirumullaivoyal,Apartment,2.0,967,4950000.0,5118.924508790073,3,1
"Live Green,Kattur, Chennai",Chennai,Kattur,Apartment,1.0,586,2900000.0,4948.805460750853,2,0
Sumeru Puthur City,Chennai,Selaiyur,Apartment,2.0,1038,4500000.0,4335.260115606937,3,0
Redmond Square,Chennai,Sholinganallur,Apartment,3.0,1500,7000000.0,4666.666666666667,3,0
Ambrosia Apartments,Chennai,Semmancheri,Apartment,3.0,1133,4600000.0,4060.0176522506617,3,1
"Annamalai Colony, Saligramam,Chennai",Chennai,Saligramam,Apartment,2.0,1100,8950000.0,8136.363636363636,3,1
"Vn Nattrunai ,Thirumullaivoyal, Chennai",Chennai,Thirumullaivoyal,Apartment,3.0,1024,4500000.0,4394.53125,3,0
"Krishna Nagar, Sriperumbudur,Chennai",Chennai,Sriperumbudur,Villa,3.0,1508,5400000.0,3580.901856763926,3,1
Jones Dawn Villas by Jones Foundations,Chennai,Ponmar,Villa,3.0,1782,8700000.0,4882.154882154882,3,1
"Swarnambigai Nagar, Virugambakkam,Chennai",Chennai,Virugambakkam,Independent House,5.0,2500,25000000.0,10000.0,4,1
"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai",Chennai,Adyar,Apartment,2.0,900,7000000.0,7777.777777777777,3,1
Khurinji Zinnia,Chennai,West Tambaram,Apartment,1.0,537,2600000.0,4841.71322160149,2,1
"Kottavakkam, Chennai",Chennai,Kottavakkam,Independent House,2.0,1292,9000000.0,6965.94427244582,3,1
VGN Imperia Phase 3,Chennai,Thiruverkkadu,Apartment,3.0,1096,5400000.0,4927.007299270073,3,0
"Bharathi Nagar, Ayanavaram,Chennai",Chennai,Ayanavaram,Independent House,4.0,2300,24000000.0,10434.782608695652,4,1
"LIVEGREEN CONSTRUCTIONS,Sembakkam, Chennai",Chennai,Sembakkam,Apartment,1.0,586,2900000.0,4948.805460750853,2,0
Alliance Galleria Residences,Chennai,Old Pallavaram,Apartment,2.0,1112,9000000.0,8093.525179856115,3,0
"Veppampattu, Chennai",Chennai,Veppampattu,Independent House,1.0,560,2480000.0,4428.571428571428,2,1
"Shankar Nagar, Pammal,Chennai",Chennai,Pammal,Apartment,2.0,856,3700000.0,4322.429906542056,3,1
"Naveen vanagaram,Kanchuma Puram, Vanagaram ,Chennai",Chennai,Vanagaram,Apartment,2.0,1079,6500000.0,6024.096385542169,3,1
"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai",Chennai,Jeth Nagar,Apartment,2.0,1100,12000000.0,10909.09090909091,3,1
Krishna Apartment,Chennai,Madambakkam,Apartment,3.0,1432,5600000.0,3910.6145251396647,3,1
Raghavendra Aishwaryam Flats,Chennai,Urapakkam,Apartment,2.0,932,4500000.0,4828.326180257511,3,1
"Madambakkam, Chennai",Chennai,Madambakkam,Independent House,3.0,1500,4500000.0,3000.0,3,1
"Tambaram Mount, West Tambaram,Chennai",Chennai,West Tambaram,Independent House,2.0,1200,7500000.0,6250.0,3,1
"Building velachery ,Anna Nagar Extension, Velachery,Chennai",Chennai,Velachery,Apartment,1.0,590,3200000.0,5423.728813559322,2,1
"Shri Vihar ,Sembakkam, Chennai",Chennai,Sembakkam,Apartment,4.0,1570,8500000.0,5414.012738853503,3,1
Indra Enclave,Chennai,Medavakkam,Apartment,2.0,808,3600000.0,4455.445544554455,3,0
"Ma. Po. Si. Nagar, Thiruvallur,Chennai",Chennai,Thiruvallur,Independent House,3.0,1582,5000000.0,3160.556257901391,3,1
"TNHB Colony, Villivakkam,Chennai",Chennai,Villivakkam,Independent House,4.0,2400,22500000.0,9375.0,4,1
"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",Chennai,Raja Annamalai Puram,Apartment,3.0,1350,16000000.0,11851.851851851852,3,1
"Kandasamy Nagar, Porur,Chennai",Chennai,Porur,Independent House,3.0,1400,6500000.0,4642.857142857143,3,1
"Viswas Castle,Urapakkam, Chennai",Chennai,Urapakkam,Apartment,2.0,950,3200000.0,3368.4210526315787,3,0
"Puzhal, Chennai",Chennai,Puzhal,Independent House,2.0,850,5500000.0,6470.588235294118,3,1
"Venkateshwara Nagar, Ramapuram,Chennai",Chennai,Ramapuram,Apartment,2.0,860,5400000.0,6279.069767441861,3,0
"Velachery, Chennai",Chennai,Velachery,Apartment,3.0,1300,7900000.0,6076.923076923077,3,1
Jayam Villa,Chennai,Raja Annamalai Puram,Apartment,2.0,780,8500000.0,10897.435897435897,2,0
"Kallikuppam, Ambattur,Chennai",Chennai,Ambattur,Independent House,2.0,1100,6700000.0,6090.909090909091,3,0
"AGS Colony, Adambakkam,Chennai",Chennai,Adambakkam,Apartment,3.0,1193,9900000.0,8298.407376362113,3,0
"Lakshmipuram, Kolathur,Chennai",Chennai,Kolathur,Independent House,3.0,1350,12000000.0,8888.888888888889,3,0
"Veera Vanchinathan Nagar, Perungudi,Chennai",Chennai,Perungudi,Apartment,2.0,1200,7500000.0,6250.0,3,1
"Akshaya,Periyar Nagar, Perambur,Chennai",Chennai,Perambur,Apartment,2.0,946,6300000.0,6659.619450317125,3,0
Ben Le Orchard Apartments,Chennai,Anna Nagar West,Apartment,3.0,1065,8800000.0,8262.910798122066,3,1
Techcons Blue Alpha,Chennai,Mudichur,Apartment,1.0,580,2686000.0,4631.0344827586205,2,1
"Ramaniyam Gauravv ,Sholinganallur, Chennai",Chennai,Sholinganallur,Apartment,2.0,1160,6490000.000000001,5594.827586206898,3,0
BSCPL Bollineni Iris,Chennai,Perumbakkam,Apartment,2.0,1055,5800000.0,5497.630331753555,3,1
"Dharan Singh Colony, Vadapalani,Chennai",Chennai,Vadapalani,Independent House,4.0,1940,27500000.0,14175.257731958764,3,1
Amaar Ultra Amaar Avenue Phase 2,Chennai,Choolaimedu,Apartment,2.0,938,9000000.0,9594.882729211087,3,1
Vasantham,Chennai,Sembakkam,Apartment,3.0,1712,11500000.0,6717.289719626168,3,1
"Padupakkam, Triplicane,Chennai",Chennai,Triplicane,Independent House,4.0,1328,23900000.0,17996.98795180723,3,1
TVH Svaya,Chennai,Pennalur,Apartment,2.0,1085,3000000.0,2764.9769585253457,3,1
"Singaperumal Koil, Chennai",Chennai,Singaperumal Koil,Independent House,1.0,880,2728000.0,3100.0,3,1
Hiranandani Parks Apartment,Chennai,Oragadam Sriperambattur,Apartment,3.0,1450,7000000.0,4827.586206896552,3,1
Alliance Jasmine Springs,Chennai,Kelambakkam,Apartment,1.0,462,2800000.0,6060.606060606061,2,0
"RC NAVARATHNAM ,Sembiyan, Perambur,Chennai",Chennai,Perambur,Apartment,2.0,900,9300000.0,10333.333333333334,3,0
Plaza Pristine Acres,Chennai,Perumbakkam,Apartment,2.0,904,4500000.0,4977.876106194691,3,0
Swathy Ayyappa Flats,Chennai,Kilpauk,Apartment,2.0,940,6500000.0,6914.893617021276,3,0
"Tirupathi Nagar, Valasaravakkam,Chennai",Chennai,Valasaravakkam,Independent House,5.0,5400,51300000.0,9500.0,5,1
Narayanan Nagar,Chennai,Ambattur,Apartment,2.0,795,4375000.0,5503.144654088051,2,1
Royal,Chennai,Kolathur,Apartment,2.0,990,6900000.0,6969.69696969697,3,1
Amarprakash Temple Waves,Chennai,Thandalam,Apartment,2.0,630,4500000.0,7142.857142857143,2,0
Golden Jubilee Flats,Chennai,Anna Nagar West,Apartment,3.0,1100,10000000.0,9090.90909090909,3,1
 Madambakkam,Chennai,Madambakkam,Apartment,2.0,598,2950000.0,4933.110367892977,2,1
"Nerkundram, Mogappair,Chennai",Chennai,Mogappair,Apartment,2.0,918,7200000.0,7843.137254901961,3,0
"Ambattur, Chennai",Chennai,Ambattur,Independent House,4.0,3300,37800000.0,11454.545454545454,1,1
"Kamakshi Nagar, Anakaputhur,Chennai",Chennai,Anakaputhur,Apartment,1.0,490,1500000.0,3061.2244897959185,2,1
Prestige Bella Vista,Chennai,Iyyappanthangal,Apartment,3.0,1791,13000000.0,7258.514796203239,3,1
Rajparis Harmony,Chennai,Medavakkam,Apartment,3.0,1512,7800000.0,5158.730158730159,3,0
"BHARATHI ,Thirumullaivoyal, Chennai",Chennai,Thirumullaivoyal,Apartment,2.0,967,4850000.0,5015.511892450879,3,1
"Ponmar, Chennai",Chennai,Ponmar,Villa,2.0,1669,7200000.0,4313.960455362492,3,1
"Sushil nagar ,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",Chennai,Kolapakkam - Vandalur,Apartment,2.0,1065,3600000.0,3380.281690140845,3,0
Ozone Metrozone,Chennai,Anna Nagar West,Apartment,4.0,2661,30000000.0,11273.957158962796,4,1
"K G Signature City,Panneer Nagar, Mogappair,Chennai",Chennai,Mogappair,Apartment,2.0,1000,7200000.0,7200.0,3,0
"Chinnaiyan Colony, Perambur,Chennai",Chennai,Perambur,Independent House,10.0,8000,65000000.0,8125.0,1,1
TNHB LIG Block,Chennai,Ayappakkam,Apartment,1.0,640,1700000.0,2656.25,2,1
 Balambal Apartments,Chennai,Virugambakkam,Apartment,2.0,960,5850000.0,6093.75,3,0
"Dwaraka flats,Bhavani Nagar, Ayappakkam,Chennai",Chennai,Ayappakkam,Apartment,2.0,1168,5850000.0,5008.561643835616,3,1
"Surya Nagar, Kotturpuram,Chennai",Chennai,Kotturpuram,Apartment,3.0,1650,23000000.0,13939.39393939394,3,1
"ert  aprtment,Periyar Nagar, Chromepet,Chennai",Chennai,Chromepet,Apartment,2.0,763,4000000.0,5242.463958060288,2,0
Hansa Abhinav,Chennai,Tiruvottiyur,Apartment,2.0,836,4500000.0,5382.775119617225,3,0
"ADWAITH SRINIVASAN FLAT,Nanganallur, Chennai",Chennai,Nanganallur,Apartment,2.0,518,4040000.0,7799.2277992278,2,0
"Vijaya Gardens, Valasaravakkam,Chennai",Chennai,Valasaravakkam,Independent House,6.0,3500,30000000.0,8571.42857142857,4,1
Gothi Flats,Chennai,West Mambalam,Apartment,2.0,620,5600000.0,9032.258064516129,2,1
"Veppampattu, Chennai",Chennai,Veppampattu,Villa,2.0,1000,3000000.0,3000.0,3,1
GR Natarajan Sundaravedam,Chennai,T Nagar,Apartment,3.0,1495,27500000.0,18394.648829431437,3,0
"Mathangi Apartments,Samiyar Madam, Kodambakkam,Chennai",Chennai,Kodambakkam,Apartment,2.0,560,4500000.0,8035.714285714285,2,1
"Mango Farm,Natesan Nagar, Madhavaram,Chennai",Chennai,Madhavaram,Apartment,2.0,831,4500000.0,5415.162454873646,3,1
"Srivatsam flats ,Sembiyan, Perambur,Chennai",Chennai,Perambur,Apartment,2.0,853,5000000.0,5861.664712778429,3,1
Alacrity Sangath,Chennai,Velachery,Apartment,2.0,994,6000000.0,6036.2173038229375,3,1
"Periyar Nagar, Tiruvottiyur,Chennai",Chennai,Tiruvottiyur,Independent House,2.0,1800,11000000.0,6111.111111111111,3,1
"Ishwarya malar apartments ,Kuppusamy Nagar, Ayanavaram,Chennai",Chennai,Ayanavaram,Apartment,2.0,547,4100000.0,7495.429616087751,2,1
"Mylapore, Chennai",Chennai,Mylapore,Apartment,2.0,730,4500000.0,6164.3835616438355,2,0
"JB HOMES,Vishnu Nagar, West Tambaram,Chennai",Chennai,West Tambaram,Apartment,2.0,920,3300000.0,3586.9565217391305,3,1
BSR Nerkundram,Chennai,Koyambedu,Independent House,4.0,1400,11500000.0,8214.285714285714,3,0
Mahindra Happinest,Chennai,Avadi,Apartment,2.0,667,3200000.0,4797.6011994003,2,0
"Veppampattu, Chennai",Chennai,Veppampattu,Independent House,2.0,1000,3900000.0,3900.0,3,0
Sravan Zebulon,Chennai,Madipakkam,Apartment,2.0,850,5450000.0,6411.764705882353,3,1
"Leela Towers Kovilambakam,Rose Nagar, Kovilambakkam,Chennai",Chennai,Kovilambakkam,Apartment,2.0,951,4500000.0,4731.86119873817,3,1
My Homes Nakshatra,Chennai,Perumbakkam,Apartment,3.0,1380,7700000.0,5579.710144927536,3,1
