city,locality_lower,n,real_p25,real_p75,real_median
Bangalore,electronic city,101,3979.6782387806943,5123.595505617976,4312.354312354312
Pune,hadapsar,94,4733.783277090363,7027.777777777778,5320.337689827463
Mumbai,mira road east,84,9579.300454300455,11967.391304347826,10732.142857142857
Bangalore,chandapura,69,4312.354312354312,5123.595505617976,4571.428571428572
Bangalore,banashankari,68,5177.104722792608,8888.888888888889,6325.0
Bangalore,jp nagar,65,4999.999999999999,8552.631578947368,5714.285714285715
Bangalore,whitefield,62,4441.60303949147,7481.989364765197,5550.660792951542
Pune,talegaon dabhade,62,3714.5478935110114,4632.162942696458,3952.962233037043
Pune,pimpri,61,5450.941526263628,8064.5161290322585,6837.606837606838
Pune,wagholi,59,4508.196721311476,6017.241379310344,5454.545454545455
Delhi NCR,sector 12 dwarka,54,11287.788843644212,12610.29411764706,11663.010092145678
Bangalore,krishnarajapura,51,4406.818181818182,7083.333333333333,5322.763306908268
Bangalore,bommanahalli,50,4110.1973684210525,6064.043125614272,5223.728813559323
Bangalore,electronic city phase ii,50,3792.741935483871,5929.593110792846,4769.635627530364
Bangalore,horamavu,47,4339.638433210579,6618.357487922705,5084.745762711865
Pune,moshi,47,5019.5275738754,6755.610794994789,5555.555555555556
Bangalore,bannerughatta,47,4086.8113522537565,5954.694681549573,4363.636363636364
Bangalore,bommasandra,46,4106.771915247196,5323.649805772524,4375.0
Pune,dhayari,46,4388.993731698898,5801.362948006057,5000.0
Pune,chakan,46,3085.470085470086,4361.648444070647,3682.0728291316527
Kolkata,behala,45,3714.285714285714,5567.01030927835,4347.826086956522
Kolkata,garia,45,3789.4736842105262,5578.093306288032,4623.513870541612
Kolkata,baguiati,45,3200.0,5082.8729281767955,3811.1217641418984
Bangalore,yelahanka,44,4519.970942088092,6939.279870939692,5372.134769400718
Pune,fursungi,43,3601.655138339921,5240.737718296066,4500.0
Kolkata,rajarhat,43,3394.914135564937,4910.763773417581,4200.0
Mumbai,virar west,42,5162.971862646306,6829.60413080895,5781.811646297628
Bangalore,hsr layout,42,5448.040964527168,7150.974025974026,5610.158259443373
Pune,kondhwa,42,3712.269938650307,7024.886877828054,6132.478632478633
Pune,wakad,42,7066.844919786096,9306.912922649375,7595.931576514101
Bangalore,sarjapur,41,4583.333333333333,6631.578947368421,6040.816326530612
Kolkata,mahheshtala,40,2615.5858912396375,4495.786516853933,3877.443110873277
Bangalore,subramanyapura,40,5003.806852334202,7418.555486241075,5525.981015754966
Mumbai,andheri west,39,19146.45205168896,27270.334928229662,23076.923076923078
Mumbai,borivali west,39,17236.363636363636,23350.3950150217,20000.0
Bangalore,btm layout,38,5115.099611273081,9996.788441910392,7305.318221447254
Bangalore,kengeri,37,4987.096774193548,8750.0,5300.0
Delhi NCR,najafgarh,37,4629.62962962963,8333.333333333334,6388.888888888889
Kolkata,south dum dum,36,3518.0555555555557,6087.127845884414,3969.26032660903
Mumbai,malad west,36,15277.777777777777,24185.606060606064,19038.46153846154
Delhi NCR,shahdara,36,4954.013281284916,20044.843049327355,13271.604938271605
Bangalore,rr nagar,36,5125.55713637236,6515.625,6028.836169023085
